UCL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL515011,3,0,14,3,3,12,4,7,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,5,0,0,6,0,0,5,10,0,23,76,123,139,90,71,28,50,84,10,666
UCL515012,5,0,15,10,3,6,8,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,11,0,0,3,0,5,0,4,0,4,17,87,190,165,145,76,37,51,39,13,800
UCL515013,9,0,30,15,10,0,0,10,3,78,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,16,0,5,11,0,5,5,0,8,5,43,137,226,243,157,118,58,33,122,24,1112
UCL515014,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,3,0,0,0,0,18,32,90,27,54,33,9,4,19,0,262
UCL515015,0,0,14,10,5,3,3,6,0,44,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,11,4,0,11,6,4,0,0,9,5,42,55,77,172,75,47,27,57,176,23,704
UCL515016,9,0,11,7,3,5,8,5,0,49,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,6,4,0,0,0,0,3,0,7,5,18,55,99,95,50,47,20,38,39,4,435
UCL515017,6,0,8,6,0,0,0,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,5,4,0,0,0,0,4,18,46,47,64,34,20,16,23,43,13,291
UCL515018,4,0,6,4,3,3,7,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,3,0,5,4,9,28,27,56,115,28,29,9,71,27,11,374
UCL515019,4,0,15,11,5,0,7,11,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,4,3,7,0,0,0,18,8,49,57,157,155,104,69,41,40,125,17,776
UCL515020,14,0,24,14,11,6,8,8,3,86,0,0,0,0,0,0,0,0,0,9,5,3,3,3,8,0,0,3,0,35,10,8,6,13,0,7,3,18,16,79,195,409,200,220,159,56,60,94,32,1436
UCL515021,8,0,11,3,5,0,3,4,0,33,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,5,13,73,150,121,69,47,32,22,36,7,552
UCL515022,11,0,30,13,7,11,5,8,0,86,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,3,0,0,12,4,0,6,8,3,0,4,5,5,32,118,177,219,173,85,61,65,103,16,1021
UCL515023,4,0,14,6,7,4,4,4,0,30,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,10,4,3,3,5,0,0,4,0,4,28,70,111,141,79,60,17,56,38,9,582
UCL515024,6,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,7,4,0,15,40,73,67,39,43,21,22,34,0,343
UCL515025,0,0,13,4,5,7,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,6,17,41,73,72,64,47,30,31,46,12,407
UCL515026,0,4,6,4,7,0,5,9,0,43,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,10,4,0,10,9,6,0,5,8,3,37,67,98,189,110,91,30,71,53,13,708
UCL515027,7,0,19,14,4,3,0,7,0,61,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,11,11,0,8,13,0,0,3,13,4,54,106,248,187,161,82,52,53,96,15,1005
UCL515028,3,0,23,14,14,6,29,12,4,104,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,0,23,0,3,12,7,3,9,13,4,8,49,134,212,500,128,118,52,249,85,39,1519
UCL515029,0,0,3,3,4,0,16,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,14,0,0,5,0,0,0,8,0,4,11,29,37,124,21,31,8,109,26,12,392
UCL515030,3,4,22,10,5,10,8,6,0,66,0,0,0,0,0,0,0,0,0,9,4,3,5,0,0,0,3,0,0,17,0,4,8,3,0,3,4,8,3,31,75,152,206,142,74,42,85,77,10,846
UCL515031,6,0,14,7,3,5,9,12,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,12,3,0,11,0,0,0,3,3,3,30,80,115,144,78,55,38,54,62,15,632
UCL515032,0,0,13,5,4,6,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,9,22,57,83,141,56,60,18,36,15,24,484
UCL515033,7,0,16,4,8,0,15,4,0,57,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,15,0,0,33,5,0,5,4,0,5,7,4,3,38,83,161,298,86,95,34,198,45,23,1031
UCL515034,0,0,20,9,6,5,13,9,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,12,4,0,4,4,0,0,0,4,3,16,73,127,193,107,70,39,62,75,7,755
UCL515035,0,0,9,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,22,47,55,35,22,15,20,32,5,257
UCL515036,0,0,17,3,5,0,6,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,0,0,0,9,3,4,21,33,64,165,68,39,15,60,47,10,505
UCL515037,6,0,8,4,5,0,7,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,7,0,0,3,6,0,0,22,58,70,266,47,68,15,94,38,14,672
UCL515038,6,0,15,9,3,9,3,0,0,45,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,3,7,4,3,5,0,3,24,62,110,112,76,51,30,33,42,7,513
UCL521001,0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,28,55,18,16,3,26,9,0,172
UCL521002,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,4,10,18,42,54,36,20,14,12,11,5,211
UCL521003,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,17,29,32,18,9,6,5,14,3,140
UCL521004,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,13,7,33,3,13,8,0,3,0,0,67
UCL521005,0,0,0,0,4,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,3,17,31,46,74,22,32,3,48,20,3,280
UCL521006,4,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,3,5,0,3,0,0,17,28,50,59,36,32,14,22,20,7,262
UCL521007,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,15,20,20,19,12,12,8,15,0,113
UCL521008,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,15,9,7,21,9,8,7,12,0,86
UCL521009,0,0,3,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,17,25,15,7,4,14,10,3,118
UCL521010,0,0,5,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,13,10,22,50,32,11,3,10,13,4,172
UCL521011,0,0,0,0,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,6,3,0,10,15,37,52,26,26,11,22,13,0,200
UCL521012,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,35,38,19,15,4,12,12,3,164
UCL521013,0,0,3,3,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,29,44,61,56,38,10,19,18,8,281
UCL521014,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,3,0,12,14,23,18,20,16,7,33,10,5,153
UCL521015,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,27,23,33,28,22,10,10,14,4,166
UCL521016,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,28,39,17,11,9,6,13,0,156
UCL521017,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,4,0,0,0,3,5,34,37,36,14,13,8,8,10,5,159
UCL521018,4,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,22,31,37,17,17,5,23,16,0,176
UCL521019,5,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,7,34,39,28,24,24,19,9,14,8,191
UCL521020,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,12,13,28,45,14,17,5,20,18,4,164
UCL521021,0,0,0,4,0,3,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,7,5,21,47,32,48,13,29,10,25,36,4,248
UCL521022,4,0,7,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,50,109,44,26,18,31,7,17,7,315
UCL521023,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,15,20,35,8,8,4,10,8,6,111
UCL521024,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,9,22,44,73,27,53,24,3,9,17,17,253
UCL521025,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,10,31,50,61,19,17,7,28,3,7,228
UCL521026,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,12,32,52,60,29,35,10,23,13,9,263
UCL521027,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,14,6,15,35,8,17,6,27,4,0,123
UCL521028,4,0,6,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,15,18,28,24,16,0,12,15,5,132
UCL521029,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,12,36,34,36,19,11,8,21,35,0,202
UCL521030,3,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,12,0,21,26,23,29,15,9,9,18,50,8,187
UCL521031,7,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,8,20,22,30,18,14,0,13,14,8,141
UCL521032,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,31,9,11,8,9,6,9,7,111
UCL521033,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,20,7,10,11,4,5,8,3,86
UCL521034,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,4,4,20,30,29,50,26,17,3,22,16,14,209
UCL521035,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,3,0,0,10,20,27,23,19,12,0,9,20,0,132
UCL521036,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,19,12,14,9,6,5,9,3,91
UCL521037,0,0,7,5,0,4,5,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,4,5,0,9,3,21,47,41,16,19,13,24,0,182
UCL521038,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,15,21,21,27,9,3,15,9,0,127
UCL521039,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,4,0,8,42,83,59,38,17,11,9,21,8,283
UCL521040,0,0,3,0,4,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,35,54,55,25,29,6,30,18,4,261
UCL521041,0,0,3,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,9,20,23,98,24,21,3,58,11,3,256
UCL521042,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,8,25,27,15,24,12,8,12,28,0,151
UCL521043,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,33,62,32,25,18,6,4,19,0,198
UCL521044,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,16,26,24,6,3,8,13,6,117
UCL521045,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,10,14,17,5,8,5,4,0,76
UCL521046,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,15,15,24,10,4,6,8,0,89
UCL521047,0,0,8,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,16,14,30,18,12,3,8,17,3,127
UCL521048,0,0,4,0,3,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,4,4,3,13,32,45,39,27,22,12,6,22,3,201
UCL521049,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,6,5,0,0,3,0,46
UCL521050,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,8,20,34,43,21,14,9,14,24,0,185
UCL521051,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,4,13,11,28,31,24,19,16,16,13,4,172
UCL521052,6,0,0,6,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,5,0,0,5,0,3,0,3,0,14,18,34,15,30,7,0,10,10,3,122
UCL522001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,6,4,0,0,5,4,0,42
UCL522002,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,16,11,7,0,9,10,3,88
UCL522003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,14,4,12,4,0,3,0,0,32
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,11
UCL522005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,15,4,15,9,0,4,0,0,49
UCL522006,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,25,62,27,21,11,9,7,9,3,178
UCL522007,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,4,11,7,3,0,8,12,0,54
UCL522008,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,8,4,3,4,11,0,47
UCL522009,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,7,12,36,12,16,3,9,11,0,112
UCL522010,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,28,16,10,8,4,0,0,114
UCL522011,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,21,14,17,11,9,7,6,6,0,86
UCL522012,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,11,16,17,19,16,7,0,14,22,4,122
UCL522013,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,20,36,13,9,0,9,10,0,118
UCL522014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,0,5,0,4,4,0,40
UCL522015,0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,12,27,12,6,5,5,3,105
UCL522016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,9,6,0,9,12,0,45
UCL522017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,18,6,17,5,8,3,0,78
UCL522018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,6,0,0,3,0,0,25
UCL522019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,9,5,0,0,4,0,0,39
UCL522020,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,12,6,6,5,0,0,5,0,33
UCL522021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,17,7,13,9,0,8,9,0,75
UCL522022,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,6,5,6,7,0,0,6,0,45
UCL522023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,13,16,9,0,11,10,7,75
UCL522024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44,8,6,13,4,4,3,0,85
UCL522025,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,11,14,16,12,17,4,5,6,0,74
UCL522026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,4,4,0,5,6,0,48
UCL522027,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,15,13,17,6,4,3,13,8,0,70
UCL522028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,3,5,4,3,0,0,27
UCL522029,5,0,4,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,20,18,10,10,7,5,6,83
UCL522030,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,3,6,0,11,5,0,60
UCL522031,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,7,0,0,0,0,0,18
UCL522032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,3,5,0,0,4,0,34
UCL522033,0,0,0,0,0,5,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,5,9,15,13,3,5,4,16,0,76
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,10
UCL522035,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,11,11,3,0,4,0,3,53
UCL522036,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,15,4,7,9,5,4,7,0,0,47
UCL522037,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,8,9,0,7,11,15,5,73
UCL522038,0,0,3,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,6,31,28,39,16,15,3,10,8,3,144
UCL522039,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,8,23,18,15,8,3,11,5,0,94
UCL522040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,10,4,9,0,8,8,0,58
UCL522041,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,8,11,8,3,5,7,10,0,67
UCL522042,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,37,5,14,0,26,12,0,117
UCL522043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,21
UCL522044,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,3,3,4,9,0,0,0,3,3,25
