UCL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL422046,0,0,0,5,5,0,0,0,0,9,0,0,13,16,26,19,7,0,0,76,0,0,0,3,3,7,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,0,4,0,0,0,0,0,0,5,0,0,7,6,0,3,0,0,0,15,0,0,0,0,0,5,0,0,0,9,0,0,4,3,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,3,8,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0
UCL422047,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,21,0,0,0,37,0,0,7,6,3,9,8,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0
UCL422048,0,0,0,0,0,0,0,0,0,6,0,0,8,10,5,20,5,0,0,45,0,0,5,0,3,7,0,0,0,14,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0
UCL422049,0,0,0,0,0,0,0,0,0,6,0,3,12,6,8,20,6,3,0,57,0,6,7,6,5,10,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,0,0,0,14,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,4,4,0,0,6,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,5,0,4,7,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0
UCL422050,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,3,0,0,0,31,0,0,4,7,4,6,0,0,0,19,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,5,5,0,0,0,13,0,0,0,0,0,0,0,0,0,3
UCL422051,0,0,0,0,3,0,0,0,0,3,5,7,9,18,27,25,5,0,0,92,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,10,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,22,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,14,3,0,4,5,6,11,0,0,0,31,0,0,0,0,0,0,0,0,0,0
UCL422052,0,0,0,0,0,3,0,0,0,0,0,3,12,5,20,21,6,0,0,76,0,0,0,0,4,0,3,5,0,15,0,6,0,3,0,3,0,0,0,13,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,5,0,0,14,0,0,3,0,5,0,4,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,4,4,4,5,5,0,0,14,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL422053,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,12,4,0,0,21,0,0,0,4,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
UCL422054,0,0,0,0,0,0,0,0,0,0,0,6,5,7,16,9,0,0,0,49,0,0,0,0,8,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
UCL422055,0,0,0,0,0,0,0,0,0,0,0,0,4,6,16,12,0,0,0,46,0,6,4,3,7,6,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,10,0,0,3,0,0,0,0,0,0,5,0,5,5,5,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,0,0,0,6,0,0,0,0,8,0,0,0,0,10,0,0,4,3,9,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0
UCL422056,0,0,0,0,0,0,0,0,0,0,0,5,13,15,10,10,9,0,0,61,0,3,14,6,13,9,6,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,4,6,5,6,0,0,0,4,0,0,15,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,13,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL422057,0,0,0,0,3,0,0,0,0,3,10,4,13,27,20,14,0,0,0,99,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,13,0,0,0,42,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,4,4,0,0,15,0,0,0,0,0,0,0,0,0,3,4,0,0,8,4,3,0,0,0,20,5,0,3,4,0,0,0,0,0,14,0,0,0,0,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,3,5,0,0,0,0,14,0,3,0,7,0,9,0,0,0,27,0,0,0,0,0,0,0,0,0,3
UCL422058,0,0,0,0,0,0,0,0,0,0,4,0,0,5,7,7,4,0,0,24,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0
UCL422059,0,0,0,0,0,0,0,0,0,5,3,4,15,22,18,23,4,0,0,89,0,0,5,0,6,6,0,0,0,17,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,8,6,0,0,5,5,6,0,0,0,18,0,0,0,0,5,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,8,0,0,0,17,0,0,0,8,3,8,0,0,0,24,0,0,6,12,0,4,3,0,0,28,0,0,0,0,0,0,0,0,0,3
UCL422060,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,10,9,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,7,0,0,0,0,6,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL422061,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,13,0,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,9,11,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,8,10,9,0,0,0,24,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL422062,0,0,3,0,0,0,0,0,0,3,5,4,15,15,13,8,3,0,0,54,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,5,4,4,0,0,0,0,15,0,0,0,5,0,0,0,0,0,6,5,0,0,4,0,0,0,0,0,15,5,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,3,4,0,0,0,13,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3
UCL422063,0,0,0,0,0,0,0,0,0,0,0,8,6,3,13,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,4,3,0,4,0,0,0,0,11,0,0,13,0,13,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
UCL431001,84,62,124,173,223,227,124,43,4,1062,2108,2142,4429,6222,8070,7427,2397,413,44,33245,562,866,2011,2772,3543,4008,2645,811,88,17310,19,71,290,321,312,243,35,5,0,1307,318,377,724,989,1381,1203,367,42,3,5413,13,38,116,170,230,199,40,5,0,817,321,530,928,1141,1300,1294,317,20,4,5857,81,110,219,296,408,361,114,21,0,1606,982,529,631,712,999,881,247,25,0,5011,1044,417,414,364,490,550,155,18,0,3455,46,116,282,425,747,820,248,34,3,2725,17,24,43,82,63,64,27,4,0,312,14,37,113,226,271,148,41,6,0,853,11,23,73,102,148,153,65,12,0,595,54,150,403,606,633,565,225,36,0,2671,55,110,275,319,526,512,153,19,0,1975,53,143,436,705,964,788,139,6,0,3237,109,283,717,1180,1444,1214,380,35,0,5370,146,482,1079,1336,1999,2148,471,28,0,7680,74,74,103,135,157,178,67,18,0,809
UCL479997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL499994,0,6,0,0,0,7,0,0,0,11,18,31,97,63,45,47,14,0,0,311,0,4,15,4,9,3,0,0,0,30,0,0,8,5,4,4,0,0,0,19,0,6,7,11,5,3,0,0,0,37,0,0,3,0,3,0,0,0,0,11,3,4,13,17,14,8,8,0,0,69,0,0,0,4,0,0,0,0,0,8,4,3,21,7,3,8,0,0,0,54,18,6,14,4,13,5,0,0,0,62,0,5,10,16,12,12,3,0,0,51,0,0,5,3,0,0,0,0,0,4,0,0,7,0,4,4,0,0,0,11,0,0,3,0,0,0,0,0,0,12,0,0,12,19,3,7,3,0,0,46,9,4,16,10,13,11,3,0,0,62,0,4,9,9,9,6,0,0,0,36,0,0,8,11,7,8,0,0,0,28,0,7,35,16,13,18,5,0,0,99,0,0,4,0,0,0,0,0,0,7
UCL501001,886,1719,4248,4173,3418,2220,682,180,39,17565,28619,47486,111712,111734,101583,72375,17809,1540,99,492968,232,442,1208,1229,1249,1043,519,155,10,6094,420,3435,17231,19762,15674,8838,1542,99,5,67009,2049,3899,10514,12649,12598,9498,2254,252,10,53721,150,512,2403,3179,2772,1934,371,18,0,11339,3060,7679,22444,22471,18021,12915,3034,240,13,89882,681,1805,5360,6365,6126,4395,1124,135,11,25998,14302,16543,18641,14556,13363,10584,3127,328,24,91461,19645,12887,13581,8944,6065,4208,1123,106,9,66560,865,3047,9689,10749,10136,8885,2655,235,9,46273,421,901,2166,2164,1702,1118,311,55,0,8833,162,1283,5796,7273,6133,3640,995,157,12,25457,225,985,3065,3420,3358,2613,1224,274,27,15190,657,5699,20050,23034,17064,10355,3684,510,30,81083,903,3024,7659,7312,6396,5073,1552,173,10,32112,535,3302,12700,15195,14920,11603,2646,228,10,61143,2293,5695,16926,20578,22556,17448,4775,389,15,90677,2100,11949,35037,33905,30987,24671,6689,505,15,145863,2300,2818,4195,3406,2590,1865,725,122,8,18023
UCL511001,33,51,99,119,74,64,28,6,0,469,1292,1357,3234,3767,3893,2777,611,46,3,16983,24,49,109,75,92,90,50,17,0,509,24,162,576,738,684,446,63,0,0,2696,142,287,674,836,742,477,87,3,0,3249,11,42,131,162,174,164,21,5,0,706,155,377,834,865,751,642,158,11,0,3792,24,51,112,139,163,101,25,3,0,618,597,398,696,661,628,506,100,15,0,3595,913,279,367,321,259,145,37,8,0,2334,23,77,201,253,343,363,113,12,0,1389,33,29,58,41,31,18,15,0,0,221,4,20,91,102,125,78,26,6,0,448,16,27,87,85,101,82,29,9,3,433,21,61,249,311,262,193,101,11,0,1194,23,59,159,205,215,178,55,3,0,906,26,89,292,382,459,362,81,6,0,1709,53,96,436,680,886,653,165,5,0,2964,127,394,1031,1202,1206,987,230,6,0,5189,60,39,81,54,47,41,11,0,0,337
UCL512001,19,19,33,40,31,30,13,6,0,179,535,507,1141,1355,1619,1343,365,34,5,6901,27,39,90,91,100,119,92,11,9,573,0,9,82,75,83,48,11,0,0,311,53,90,176,141,156,100,29,3,0,753,0,5,24,45,37,39,3,0,0,155,75,123,302,251,250,214,49,3,0,1270,8,35,59,58,87,57,21,0,0,314,310,188,275,266,284,253,72,9,0,1662,367,131,189,163,134,103,46,9,0,1146,9,22,54,88,135,152,46,7,0,510,8,14,18,17,15,11,7,0,0,88,6,17,40,42,47,41,8,0,0,198,0,14,40,37,49,31,13,5,0,190,12,22,102,128,105,106,41,5,0,521,6,25,57,76,84,96,22,0,0,369,8,21,106,188,254,218,40,4,0,845,18,46,178,249,402,284,79,12,0,1260,55,157,410,503,590,570,136,7,0,2429,22,8,37,29,31,26,7,3,0,168
UCL512002,11,11,28,30,33,27,12,7,0,160,491,389,951,1335,1539,1141,278,25,0,6154,13,25,47,62,48,66,33,10,5,317,7,33,158,247,263,125,16,0,0,847,32,48,107,146,138,115,28,0,0,615,0,4,15,30,40,28,5,0,0,123,59,121,274,286,287,205,58,4,0,1296,6,6,18,30,43,29,16,0,0,151,260,131,224,231,278,273,72,5,0,1466,378,145,225,258,193,155,38,0,0,1397,15,13,34,49,100,104,46,3,0,370,9,0,8,14,15,7,5,0,0,65,0,7,22,36,52,33,10,0,0,163,4,18,36,23,40,27,18,3,0,173,3,11,68,103,127,84,42,6,0,444,20,36,99,110,123,92,33,3,0,514,14,11,66,119,164,105,39,0,0,522,24,23,132,256,331,225,50,7,0,1045,28,82,258,388,436,427,96,5,0,1722,19,10,25,31,28,19,6,0,0,131
UCL512003,15,22,31,42,47,33,16,3,3,203,591,619,1285,1488,1677,1267,334,26,3,7279,16,39,73,78,91,88,52,17,3,452,10,59,200,233,241,144,21,0,0,915,30,29,73,84,71,70,20,8,0,383,4,9,22,30,29,38,12,0,0,149,74,146,299,270,212,241,63,3,0,1320,17,25,72,98,87,63,15,3,0,382,311,228,274,259,272,219,59,14,0,1638,380,146,180,144,115,99,26,4,0,1092,15,30,149,166,247,243,80,5,0,941,13,9,20,14,14,20,0,0,0,94,0,11,29,36,45,37,10,0,0,174,10,9,27,16,42,28,14,0,0,138,13,35,119,113,136,96,35,4,0,545,13,26,77,86,104,94,19,3,0,406,13,39,123,199,263,212,51,5,0,900,22,72,259,359,417,343,75,5,0,1551,60,169,476,512,586,409,127,5,0,2345,12,18,13,18,29,24,5,0,0,119
UCL512004,18,19,46,64,63,32,8,4,0,258,428,638,1604,1481,1406,1027,225,15,0,6828,3,0,10,5,8,3,4,0,0,27,110,360,1091,992,814,569,81,3,0,4030,21,51,175,168,107,105,31,0,0,652,7,15,34,45,35,35,8,0,0,175,52,103,250,211,178,183,51,0,0,1030,10,38,112,100,93,59,16,0,0,429,231,140,186,168,180,146,49,4,0,1110,204,107,161,145,127,84,27,8,0,852,7,49,120,141,215,205,83,0,0,822,3,14,14,14,9,6,0,0,0,52,0,8,26,28,19,11,4,0,0,90,6,32,65,53,53,50,6,0,0,272,30,58,136,108,101,78,26,3,0,553,7,35,73,63,78,56,11,4,0,331,14,44,185,182,167,136,33,3,0,769,18,80,222,232,254,217,47,4,0,1075,30,120,347,312,285,259,55,3,0,1409,15,6,24,26,22,21,8,0,0,123
