SAL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL14537,..,0,0,0,0,0,0,6,0,7,..,0,4,0,3,9,19,25,38,104,0,0,0,0,0,0,5,0,0,15,238,219,79,167,255,210,165,114,76,1526,..,0,44,221,421,328,251,144,52,1462,..,3,17,34,27,31,10,5,0,133,..,0,0,15,19,16,8,10,12,85,514,..,..,..,..,..,..,..,..,514,..,274,..,..,..,..,..,..,..,274,..,153,74,19,21,15,0,0,0,277,..,3,4,4,0,3,6,9,10,35,..,4,4,0,0,3,0,0,0,12,..,0,3,3,0,3,0,6,0,16,..,0,9,9,11,19,34,43,48,159,8,3,3,0,0,7,0,0,0,26,517,445,152,297,500,436,317,218,119,3001
SAL14538,..,0,0,0,0,0,0,0,0,0,..,0,5,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,7,6,6,7,8,17,9,0,0,55,..,0,0,4,6,16,20,3,0,47,..,3,3,5,8,4,0,0,0,25,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,..,0,5,3,7,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,13,12,5,13,17,23,20,5,0,119
SAL14539,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,5,0,0,0,0,0,22,..,0,3,3,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,4,0,0,0,0,0,31
SAL14540,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14541,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,0,7,9,0,0,37,..,0,0,0,3,10,9,0,0,18,..,0,0,3,5,0,0,0,0,17,..,0,0,0,0,0,0,0,0,3,16,..,..,..,..,..,..,..,..,16,..,5,..,..,..,..,..,..,..,5,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,3,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,13,7,11,15,0,0,72
SAL14542,..,340,410,59,15,6,6,0,0,836,..,153,394,174,76,53,59,21,4,929,4,24,46,18,3,3,3,0,0,110,488,1029,2523,910,345,260,182,40,14,5789,..,24,962,862,301,218,169,38,9,2590,..,457,1898,496,126,68,14,9,0,3058,..,0,34,65,88,55,22,3,0,262,955,..,..,..,..,..,..,..,..,955,..,156,..,..,..,..,..,..,..,156,..,66,70,28,9,0,0,0,0,168,..,145,141,20,6,16,22,3,0,354,..,87,152,20,0,0,0,0,0,270,..,755,970,170,60,35,7,3,0,2004,..,283,791,422,180,112,96,32,9,1922,8,41,79,34,19,7,7,0,0,197,961,2019,5090,2119,785,513,331,92,22,11940
SAL19494,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,201,263,361,219,210,192,132,34,4,1620,201,263,361,219,210,192,132,34,4,1620,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,441,527,812,576,498,423,308,89,14,3696,441,527,812,576,498,423,308,89,14,3696
SAL19797,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,..,138,333,29,15,5,3,3,0,537,..,36,297,210,97,94,89,59,25,902,3,14,36,19,8,10,3,3,0,105,343,434,1523,748,378,313,231,120,50,4141,..,8,392,515,306,253,203,93,12,1784,..,120,1057,438,157,91,48,10,0,1914,..,0,10,45,41,45,19,12,16,190,673,..,..,..,..,..,..,..,..,673,..,165,..,..,..,..,..,..,..,165,..,63,81,23,27,11,9,0,0,207,..,53,64,10,3,13,12,3,6,173,..,20,93,5,7,7,0,0,0,133,..,281,701,109,35,15,19,9,0,1167,..,72,610,469,227,166,139,80,25,1788,12,27,78,39,16,19,8,3,0,204,687,805,3089,1660,811,629,451,213,63,8412
SAL20003,..,6,7,4,3,3,0,0,0,26,..,3,11,22,16,35,33,19,20,161,0,6,3,0,6,0,4,0,0,25,287,319,177,235,343,291,162,74,39,1917,..,6,79,285,489,423,214,76,28,1607,..,4,65,60,38,27,11,4,0,211,..,0,6,24,54,38,11,5,10,153,621,..,..,..,..,..,..,..,..,621,..,408,..,..,..,..,..,..,..,408,..,165,124,26,14,10,6,0,0,338,..,0,6,7,0,11,11,8,11,57,..,3,0,0,0,0,0,0,0,12,..,17,22,6,5,5,0,3,0,67,..,7,24,34,32,57,56,26,27,270,6,10,9,0,6,0,3,0,0,39,630,621,341,443,645,576,324,131,68,3773
SAL20004,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL20005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,4,9,4,3,4,7,10,17,6,4,75,..,0,0,7,9,11,17,15,0,61,..,0,6,3,10,0,7,0,0,19,..,0,0,0,0,0,0,0,0,3,13,..,..,..,..,..,..,..,..,13,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,3,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,6,..,0,0,0,3,4,3,3,0,12,0,0,5,0,0,0,0,0,0,8,13,8,16,8,26,17,31,20,4,137
SAL20006,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,8,3,5,0,0,35,..,0,0,3,8,0,0,0,0,20,..,0,3,6,5,0,0,4,0,14,..,0,0,0,0,0,3,0,0,3,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,4,0,0,3,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,8,5,10,18,8,6,0,0,73
SAL20008,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,3,3,3,4,31,..,0,5,4,5,4,8,6,0,29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,13,0,6,0,4,10,15,9,4,58
SAL20009,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,3,6,5,5,3,5,0,43,..,0,0,11,5,9,6,0,0,36,..,0,0,0,3,5,0,0,0,8,..,0,0,0,3,0,4,0,0,0,18,..,..,..,..,..,..,..,..,18,..,5,..,..,..,..,..,..,..,5,..,0,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,7,0,0,3,8,0,0,0,0,0,0,0,0,0,3,18,6,0,10,13,13,12,5,3,85
SAL20010,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,20,..,0,0,0,8,4,6,0,0,20,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,6,0,0,0,4,0,3,6,10,17,3,3,46
SAL20011,..,6,6,3,3,0,0,0,0,21,..,4,27,14,8,11,5,0,0,70,0,4,7,0,0,4,3,0,0,17,1210,333,923,869,248,151,92,24,6,3862,..,15,1059,1573,414,184,118,8,0,3380,..,47,239,96,41,12,0,0,0,437,..,7,36,55,44,19,0,9,0,179,2442,..,..,..,..,..,..,..,..,2442,..,333,..,..,..,..,..,..,..,333,..,135,105,15,8,0,0,0,0,268,..,83,100,18,14,37,37,19,10,323,..,20,36,15,10,0,3,0,0,78,..,18,27,15,0,3,0,0,3,60,..,8,66,39,14,11,7,6,0,157,9,9,15,12,0,4,3,0,0,48,2456,682,1680,1837,547,277,177,36,12,7707
SAL20012,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,..,0,0,0,0,0,0,0,0,0,..,0,4,5,4,19,16,10,9,66,0,0,0,0,0,5,0,0,0,8,35,24,23,33,63,110,78,29,13,422,..,0,6,30,44,118,106,43,4,356,..,6,17,14,24,41,16,4,0,114,..,0,0,6,23,3,0,4,5,35,94,..,..,..,..,..,..,..,..,94,..,38,..,..,..,..,..,..,..,38,..,15,3,3,4,0,0,0,0,27,..,0,3,0,0,0,0,0,0,7,..,0,7,0,0,0,0,0,0,8,..,0,6,0,0,0,0,0,0,12,..,0,8,5,17,30,35,11,11,120,0,4,3,0,4,6,5,0,0,22,94,63,46,61,112,202,167,60,26,832
SAL20014,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,5,12,8,16,10,0,0,69,..,0,4,10,11,19,19,0,0,66,..,0,0,0,0,7,0,0,0,15,..,0,0,5,0,0,0,0,0,7,29,..,..,..,..,..,..,..,..,29,..,5,..,..,..,..,..,..,..,5,..,3,3,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,3,29,15,3,16,23,27,26,0,0,145
SAL20015,..,10,32,14,3,16,5,0,0,83,..,6,70,60,61,107,143,119,77,636,8,3,5,9,4,0,5,0,0,41,642,325,648,629,501,466,423,315,131,4084,..,3,382,716,513,410,421,323,102,2861,..,40,358,192,103,63,17,0,0,771,..,0,22,75,128,70,39,28,34,411,1307,..,..,..,..,..,..,..,..,1307,..,348,..,..,..,..,..,..,..,348,..,214,196,61,67,49,7,0,0,585,..,47,42,8,22,32,38,14,9,209,..,21,20,9,8,7,3,0,0,66,..,23,83,32,20,28,14,3,0,213,..,14,127,140,143,202,206,157,96,1081,22,13,19,14,9,7,8,0,0,95,1321,728,1244,1249,1009,872,750,529,247,7947
SAL20016,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,..,3,11,5,4,9,6,4,0,41,..,0,6,6,19,33,47,34,13,163,3,3,9,3,3,5,6,0,0,39,464,319,374,373,324,322,327,125,31,2651,..,20,257,383,312,387,430,124,14,1923,..,14,66,50,42,18,16,3,0,205,..,3,41,87,104,62,55,28,13,390,972,..,..,..,..,..,..,..,..,972,..,324,..,..,..,..,..,..,..,324,..,205,248,91,53,12,3,0,0,609,..,47,68,19,34,44,28,24,5,269,..,20,31,20,17,12,10,0,0,119,..,18,38,16,17,24,19,5,0,138,..,3,25,32,44,65,79,53,16,323,11,7,15,8,18,8,8,0,0,72,990,656,794,710,632,641,643,235,51,5344
SAL20018,..,16,31,13,10,9,4,7,3,88,..,8,36,45,80,93,95,109,27,490,11,11,4,11,7,8,10,4,0,67,485,255,275,422,506,399,330,232,59,2970,..,0,117,431,515,451,354,217,35,2122,..,16,173,156,140,75,35,14,0,607,..,0,5,28,83,36,15,16,7,202,922,..,..,..,..,..,..,..,..,922,..,337,..,..,..,..,..,..,..,337,..,80,63,20,29,15,5,0,0,206,..,14,10,10,11,12,8,11,11,80,..,11,11,3,4,0,4,0,0,29,..,34,79,21,17,10,8,7,7,182,..,16,67,82,121,159,185,162,45,832,19,11,7,17,21,18,13,3,0,109,938,515,527,777,926,776,625,429,106,5623
SAL20019,..,0,0,0,0,0,0,0,0,0,..,0,0,0,5,4,10,0,0,14,0,0,0,0,0,0,0,0,0,0,25,3,16,14,18,25,20,11,0,138,..,0,6,4,17,30,37,13,0,111,..,0,11,10,9,12,3,0,0,43,..,0,0,5,5,0,0,0,0,6,51,..,..,..,..,..,..,..,..,51,..,3,..,..,..,..,..,..,..,3,..,6,3,0,0,0,0,0,0,18,..,0,0,0,0,0,0,6,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,3,17,7,6,32,0,0,0,0,0,0,0,0,0,0,51,13,28,21,38,44,54,21,5,278
SAL20020,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,3,5,3,4,5,8,6,3,0,33,..,0,0,0,9,9,5,0,0,17,..,0,3,0,0,4,4,0,0,8,..,0,0,0,0,0,0,0,0,7,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,6,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,5,5,4,6,12,12,14,3,0,63
SAL20021,..,17,35,19,10,7,0,3,0,92,..,8,36,34,27,53,69,52,29,307,5,3,7,8,4,5,0,0,0,22,269,203,415,301,192,199,152,106,56,1882,..,20,285,329,157,175,145,76,19,1189,..,15,179,86,36,15,10,8,0,354,..,0,38,28,59,36,21,16,9,204,579,..,..,..,..,..,..,..,..,579,..,128,..,..,..,..,..,..,..,128,..,82,70,29,9,12,3,0,0,210,..,50,55,18,13,18,24,5,8,193,..,47,69,8,7,5,0,0,0,138,..,72,147,59,31,29,9,3,0,353,..,18,83,92,85,105,135,85,41,645,10,8,12,13,6,3,6,0,0,55,585,443,938,662,408,389,344,195,80,4040
SAL20022,..,0,9,0,0,4,3,0,0,25,..,0,13,14,17,46,74,61,34,262,0,4,6,0,3,0,3,0,0,19,185,102,105,141,162,205,249,128,44,1329,..,7,58,146,156,214,259,138,20,988,..,27,68,51,49,29,24,7,0,259,..,3,12,17,28,23,12,13,3,117,387,..,..,..,..,..,..,..,..,387,..,96,..,..,..,..,..,..,..,96,..,58,24,20,21,8,3,0,0,136,..,5,4,0,0,9,12,3,0,30,..,4,5,0,4,0,0,0,0,10,..,9,16,3,12,11,7,0,0,56,..,8,17,18,40,99,134,92,46,460,5,8,5,6,4,5,6,4,0,45,394,229,218,267,316,397,451,255,68,2591
SAL20023,..,78,30,7,11,10,8,3,0,143,..,17,52,33,47,100,118,83,42,504,11,24,9,10,5,12,9,5,0,81,1257,770,676,878,769,608,481,256,69,5759,..,19,479,1085,928,740,618,328,39,4236,..,95,332,156,145,78,45,12,0,865,..,17,89,177,213,61,18,18,8,597,2596,..,..,..,..,..,..,..,..,2596,..,697,..,..,..,..,..,..,..,697,..,428,118,46,23,10,3,0,0,629,..,42,38,10,7,28,26,10,11,178,..,38,41,11,4,3,0,0,0,102,..,145,80,18,27,15,17,7,4,320,..,34,123,73,95,146,165,113,69,822,22,43,25,14,10,14,11,3,0,146,2618,1565,1337,1584,1446,1103,911,493,130,11188
SAL20024,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,..,0,0,0,3,3,6,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,18
SAL20025,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,7,10,0,3,0,0,39,..,0,0,4,10,8,8,5,0,32,..,0,0,4,3,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,17,..,..,..,..,..,..,..,..,17,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,17,6,0,14,18,8,6,4,0,80
SAL20026,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,4,5,0,3,9,5,0,0,26,..,0,4,0,12,8,7,0,0,30,..,0,3,0,0,5,0,0,0,7,..,0,0,0,0,0,0,0,0,3,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,0,5,..,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,5,3,5,0,12,16,12,0,0,61
SAL20027,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,25,8,4,18,24,24,14,8,0,131,..,0,3,25,39,34,22,11,0,137,..,0,0,4,0,0,0,0,0,10,..,0,0,3,4,0,0,0,0,6,59,..,..,..,..,..,..,..,..,59,..,20,..,..,..,..,..,..,..,20,..,7,4,0,3,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,4,3,0,5,7,0,0,21,0,0,0,0,0,4,0,0,0,3,59,19,8,34,50,41,28,20,0,263
SAL20028,..,0,0,0,3,0,0,0,0,10,..,0,0,4,8,8,20,13,6,51,0,0,3,0,0,0,0,0,0,10,131,67,69,94,110,86,82,34,13,678,..,0,49,97,121,131,113,41,11,564,..,17,42,28,16,12,6,0,0,122,..,0,7,15,16,4,0,0,0,51,254,..,..,..,..,..,..,..,..,254,..,49,..,..,..,..,..,..,..,49,..,57,21,6,8,4,0,0,0,95,..,7,0,3,3,5,4,0,5,23,..,3,8,0,5,0,0,0,0,12,..,0,3,0,11,0,0,0,0,19,..,0,7,13,16,19,33,23,3,107,5,0,8,0,0,0,4,0,0,22,257,135,142,164,197,182,164,65,19,1322
